date_data_entered,person_entering_data,date_on_vial,person_that_sorted_the_sample,site,partial_sample_note,sample_type,ostracod,copepod,hemiptera_corixidae_boatman,cladocera,nematode,dipteran_sp,diptera_chironomid,diptera_ceratopogonidae,diptera_ceratopogonidae_pupa,diptera_culicidae,diptera_culicidae_larvae,diptera_anthomyiidae,diptera_ephydridae,diptera_stratiomyidae,amphipod,lepidoptera_crambidae,hemiptera_mesoveliidae,hemiptera_notonectidae,annelida_sp,annelida_oligochaete,annelida_polychaete,ephemeroptera,odonate,coleoptera_sp,coleoptera_dytiscidae,coleoptera_dytiscidae_liodessus_affinis,coleoptera_dytiscidae_agabus,coleoptera_dytiscidae_colymbetinae,coleoptera_curculionidae_weavil,coleoptera_hydrophilidae,coleoptera_tropiscernus,coleoperta_hydraenidae,coleoptera_gyrindae_gyrinini,ephemeroptera_sp,tipulidae_larva,plecoptera_sp,arachnida_acari_mite,trichoptera_sp,collembola_springtail,gastropod_snail,mollusk,syrphidae,terrestrials,isopoda_sphaeroma,clam_shrimp,eristalis_tenax_larvae,larvae,crawfish,fish,nz_mudsnail,unknown,comments,OBJECTID,Sampling_frequency,x,y
2024-12-09T00:00:00Z,Alison R,2024-06-01T00:00:00Z,Luke Rutherford and Sophie Serruya,NVBR,NA,Algae,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
2025-02-15T00:00:00Z,Kylie Malone,2024-06-10T00:00:00Z,Melina Axelrod,NEC,NA,Algae,26,42,1,59,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2024-12-09T00:00:00Z,Jasmine R,2024-06-12T00:00:00Z,Sabrina Bollendorf,NPB,NA,SW500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.0,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-09T00:00:00Z,Alison R,2024-06-12T00:00:00Z,Kalin Zobel,NPB,NA,SW250,20,33,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-09T00:00:00Z,Jasmine R,2024-06-12T00:00:00Z,Gary Tian,NPB1,NA,SW250,16,21,NA,3,NA,NA,4,NA,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,295,17,NA,5,Quarterly,-119.879130873696,34.4224159288559
2024-12-09T00:00:00Z,Jasmine R,2024-08-19T00:00:00Z,Kalin Zobel,NPB,NA,SW250,107,151,NA,13,6,NA,4,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Green terrestrial beetle,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-09T00:00:00Z,Jasmine R,2024-08-19T00:00:00Z,Alyssa Ambrosini,NPB,NA,SW500,235,15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2024-12-09T00:00:00Z,Jasmine R,2024-08-27T00:00:00Z,Kalin Zabel,NPB1,NA,SW500,16,25,NA,166,NA,NA,4,NA,NA,NA,1,NA,NA,1,26,NA,NA,NA,NA,23,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,7 larvae are chromatid,5,Quarterly,-119.879130873696,34.4224159288559
2024-12-09T00:00:00Z,Sophie Serruya,2024-08-27T00:00:00Z,Mark Oregel,NPB1,NA,SW250,10,173,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,61,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2025-03-12T00:00:00Z,Jasmine R,2024-08-29T00:00:00Z,Kirya Wagner,NVBR,NA,SW500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 ostracod in waste (no sample vial), lots of boatman wings, part of a chironomid larve, pink animal matter with yellow spheres inside",2,Quarterly,-119.87410977842,34.4175305114216
2025-03-12T00:00:00Z,Jasmine R,2024-08-29T00:00:00Z,Abby,NEC,46024.0,SW500,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"half chironomid, 15 ostracod shells in waste, one seed pod? (see sorting paper sheet)",1,Quarterly,-119.873895201699,34.4208936917187
2025-03-09T00:00:00Z,Jasmine R,2024-08-30T00:00:00Z,Kirya Wagner,NMC,NA,SW500,76,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"one fish found, sp not id",3,Quarterly,-119.875955139532,34.4196900427342
2024-12-09T00:00:00Z,Jasmine R,2024-09-06T00:00:00Z,Marshall Mueller,NEC,NA,Algae,1,1,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chironomids are larvae,1,Quarterly,-119.873895201699,34.4208936917187
2025-01-08T00:00:00Z,Jasmine R + Sophie Serruya,2024-10-15T00:00:00Z,Leila S,NPB1,NA,SW250,10,22,NA,590,8,NA,1,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,153,NA,some sorted organisms were not found in waste or sample / some plant matter / crustace cyclopoida: 20,5,Quarterly,-119.879130873696,34.4224159288559
2025-02-13T00:00:00Z,Kylie Malone,2024-11-02T00:00:00Z,Leila S,NMC,NA,SW500,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
2025-02-17T00:00:00Z,Jasmine R,2024-11-02T00:00:00Z,Seli Kalra,NEC,NA,SW500,125,NA,99,NA,1,NA,2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2025-02-23T00:00:00Z,Matthew RC,2024-11-22T00:00:00Z,Stephen Bond,NPB,NA,SW250,NA,4,NA,NA,24,NA,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.0,NA,NA,NA,NA,NA,NA,NA,NA,139,1,Dragonfly Larvae in seperate vial.,4,Quarterly,-119.878980669991,34.4213716063627
2026-01-20T00:00:00Z,Jeremiah B.,2024-11-22T00:00:00Z,Aubrey Wisniewski,NPB1,NA,SW250,9,265,NA,210,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2026-01-20T00:00:00Z,Jeremiah B.,2024-05-11T00:00:00Z,Aubrey Wisniewski,NPB,NA,SW250,156,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2026-01-20T00:00:00Z,Jeremiah B.,2024-05-09T00:00:00Z,Owen Eckweiler,NWP,NA,SW250,210,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
2026-01-20T00:00:00Z,Jeremiah B.,2024-05-09T00:00:00Z,Jasmine Rebollar,NDC,NA,SW250,262,40,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,17,NA,7,Quarterly,-119.882993254677,34.4211237991105
2026-01-20T00:00:00Z,Jeremiah B.,2024-11-22T00:00:00Z,Emilio Ojemann,NPB,NA,SW250,149,29,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2025-05-29T00:00:00Z,Kylie Malone,2025-02-01T00:00:00Z,Ella Khoury,NPB1,NA,SW250,65,31,NA,1,1,4,23,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,13,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2025-03-04T00:00:00Z,Matthew RC,2025-02-20T00:00:00Z,Kirya Wagner,NMC,NA,SW250,16,NA,2,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Quarterly,-119.875955139532,34.4196900427342
2025-03-06T00:00:00Z,Matthew RC,2025-02-20T00:00:00Z,Stephen Bond,NEC,NA,SW250,NA,10,4,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2025-03-08T00:00:00Z,Matthew RC,2025-02-22T00:00:00Z,Anjalique Richard,NPB1,NA,SW250,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,`1,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2025-03-19T00:00:00Z,Jasmine R,2025-03-01T00:00:00Z,Stephen Bond,NDC,NA,SW250,58,95,NA,105,NA,NA,23,15,NA,NA,2,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"15 cyclopoids , 2 mites, unknowns in vial are Delphaacidae? and diptera culicidae pupa",7,Quarterly,-119.882993254677,34.4211237991105
2025-03-19T00:00:00Z,Jasmine R,2025-03-03T00:00:00Z,Kai Suzuki,NVBR,NA,SW250,NA,NA,14,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"note, unknown are white pods (possible egg sacs), in vial on rock",2,Quarterly,-119.87410977842,34.4175305114216
2025-07-08T00:00:00Z,Jon S,2025-05-09T00:00:00Z,Mila Matich,NPB1,NA,SW250,12,337,NA,164,3,26,7,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,1.0,NA,4,NA,NA,NA,NA,NA,NA,13,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2025-07-15T00:00:00Z,Jon S,2025-03-09T00:00:00Z,Kai Suzuki,NPB,NA,SW250,NA,162,NA,12,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3.0,NA,NA,NA,NA,"2 bivalvles not present, waste looked clean",4,Quarterly,-119.878980669991,34.4213716063627
2026-01-20T00:00:00Z,Jeremiah B.,2025-05-09T00:00:00Z,Fiorella Beck,NPB1,NA,SW250,22,116,NA,6,1,1,9,NA,NA,NA,NA,NA,NA,2,15,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Quarterly,-119.879130873696,34.4224159288559
2026-01-20T00:00:00Z,Jeremiah B.,2025-02-19T00:00:00Z,Sedona Domino,NVP4,NA,SW250,912,86,1,889,2,NA,116,2,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3 tadpoles,9,After Rain,-119.880949411571,34.419069035776
2026-01-20T00:00:00Z,Jeremiah B.,2025-08-26T00:00:00Z,Sedona Domino,NEC,NA,SW250,NA,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
2026-01-20T00:00:00Z,Jeremiah B.,2025-04-19T00:00:00Z,Abby Nestor,NPB1,NA,SW250,25,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,5,Quarterly,-119.879130873696,34.4224159288559
2026-01-20T00:00:00Z,Jeremiah B.,2025-08-26T00:00:00Z,Sedona Domino,NPB,NA,SW250,NA,720,10,53,NA,NA,43,8,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,3,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
2026-01-26T00:00:00Z,Sequoia M,2025-08-26T00:00:00Z,Sedona Domino,NPB2,NA,SW500,2,3,2,22,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,19,NA,NA,4,NA,NA,NA,2.0,NA,NA,16,7,NA,6,Quarterly,-119.880675826088,34.4248762302824
2026-01-26T00:00:00Z,Sequoia M,2024-02-10T00:00:00Z,Emma Alliende,NVP4,NA,SW500,164,65,NA,NA,NA,NA,30,1,NA,NA,NA,NA,NA,NA,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratopogonidae larvae present, entered as ceratopogonidae / 6 tadpoles present",9,After Rain,-119.880949411571,34.419069035776
2026-01-26T00:00:00Z,Sequoia M,2025-02-19T00:00:00Z,Camila Evdemon,NVP2,NA,SW500,64,1293,NA,74,90,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3.0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,10,After Rain,-119.87988189222,34.4194776322913
2026-01-26T00:00:00Z,Sequoia M,2025-02-01T00:00:00Z,Seli Kalra,NPB,NA,SW250,169,74,NA,14,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,47,NA,NA,NA,1.0,NA,NA,NA,9,"epimidae larva- listed under larvae, sample spilled",4,Quarterly,-119.878980669991,34.4213716063627
2026-01-26T00:00:00Z,Sequoia M,2025-04-19T00:00:00Z,Kai Suzuki,NPB,NA,SW250,217,1606,NA,114,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"2 types of copepods identified: Cyclopoida (1263) and Calanoida (343), sample was spilled (approx 30 orgs lost)",4,Quarterly,-119.878980669991,34.4213716063627
2026-01-26T00:00:00Z,Sequoia M,2024-11-07T00:00:00Z,Araceli,NPB,NA,SW500,64,34,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seems like an unfinished count? Has plus signs after each count?,4,Quarterly,-119.878980669991,34.4213716063627
2026-01-26T00:00:00Z,Sequoia M,2025-03-03T00:00:00Z,Marcelo Miller,NVBR,NA,SW250,38,52,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,28,"Arthropoda listed (28)- under unknown, unknown hemiptera, sample spilled",2,Quarterly,-119.87410977842,34.4175305114216
